DXCC,Name,Prefix,Continent,Status,Action
1,"Canada",VE,NA,CURRENT,VERIFY
2,"Canada",VE,NA,CURRENT,VERIFY
3,"United States",K,NA,CURRENT,VERIFY
4,"United States",K,NA,CURRENT,VERIFY
7,"United States",K,NA,CURRENT,VERIFY
8,"San Andres & Providencia",HK0/a,NA,CURRENT,VERIFY
9,"Ukraine",UR,EU,CURRENT,VERIFY
12,"Antarctica",CE9,SA,CURRENT,VERIFY
13,"Kaliningrad",UA2,EU,CURRENT,VERIFY
15,"Ukraine",UR,EU,CURRENT,VERIFY
16,"Asiatic Russia",UA9,AS,CURRENT,VERIFY
17,"European Russia",UA,EU,DELETED,DELETED
18,"Asiatic Russia",UA9,AS,CURRENT,VERIFY
19,"Asiatic Russia",UA9,AS,CURRENT,VERIFY
21,"Latvia",YL,EU,DELETED,DELETED
23,"China",BY,AS,CURRENT,VERIFY
26,"China",BY,AS,CURRENT,VERIFY
29,"Antarctica",CE9,SA,CURRENT,VERIFY
30,"Antarctica",CE9,SA,CURRENT,VERIFY
32,"Antarctica",CE9,SA,CURRENT,VERIFY
34,"Poland",SP,EU,CURRENT,VERIFY
37,"Yemen",7O,AS,CURRENT,VERIFY
38,"Antarctica",CE9,SA,CURRENT,VERIFY
39,"Antarctica",CE9,SA,CURRENT,VERIFY
40,"Italy",I,EU,CURRENT,VERIFY
